Date	 Close/Last	 Volume	 Open	 High	 Low	Company
12/22/2020	 $1720.22	1018829	 $1729.33	 $1732.6123	 $1705.78	Alphabet
12/21/2020	 $1734.56	1698707	 $1709.13	 $1737	 $1694	Alphabet
12/18/2020	 $1726.22	4262837	 $1746.17	 $1748.36	 $1715	Alphabet
12/17/2020	 $1740.51	1744005	 $1763.93	 $1766.71	 $1731.15	Alphabet
12/16/2020	 $1757.19	1233836	 $1769.11	 $1769.11	 $1749.06	Alphabet
12/15/2020	 $1761.08	1068292	 $1759.86	 $1764	 $1741.67	Alphabet
12/14/2020	 $1752.26	1652471	 $1770.72	 $1789.8	 $1749.13	Alphabet
12/11/2020	 $1774.8	931431	 $1760	 $1777.31	 $1752.74	Alphabet
12/10/2020	 $1767.65	1434416	 $1762.6	 $1774.99	 $1733.527	Alphabet
12/09/2020	 $1777.86	1586426	 $1810.36	 $1828.37	 $1762.0001	Alphabet
12/08/2020	 $1811.33	996768	 $1808.52	 $1815.97	 $1791.28	Alphabet
12/07/2020	 $1817.03	1114391	 $1815.55	 $1829.29	 $1803.04	Alphabet
12/04/2020	 $1823.76	1027242	 $1820.22	 $1829.4994	 $1813.59	Alphabet
12/03/2020	 $1821.84	1236366	 $1820.54	 $1843.83	 $1817	Alphabet
12/02/2020	 $1824.97	1471235	 $1795.36	 $1832.74	 $1785.1695	Alphabet
12/01/2020	 $1795.36	1868134	 $1766.655	 $1821.7199	 $1763.03	Alphabet
11/30/2020	 $1754.4	1620887	 $1775.65	 $1780.335	 $1747.84	Alphabet
11/27/2020	 $1787.02	739507	 $1764.54	 $1797.01	 $1764.54	Alphabet
11/25/2020	 $1764.13	979957	 $1767.81	 $1770.38	 $1748.36	Alphabet
11/24/2020	 $1763.9	1400306	 $1727.5	 $1766.475	 $1720.73	Alphabet
11/23/2020	 $1727.56	1127618	 $1740.22	 $1745.99	 $1710.18	Alphabet
11/20/2020	 $1736.38	1385322	 $1762	 $1768.3625	 $1735	Alphabet
11/19/2020	 $1758.57	1005340	 $1733.23	 $1763.49	 $1730.02	Alphabet
11/18/2020	 $1740.64	1005377	 $1756.64	 $1765	 $1738.5658	Alphabet
11/17/2020	 $1761.66	1066034	 $1767.86	 $1777.14	 $1759.49	Alphabet
11/16/2020	 $1774.03	1273393	 $1764.14	 $1794.34	 $1761.33	Alphabet
11/13/2020	 $1772.26	1487877	 $1748	 $1777.13	 $1735.98	Alphabet
11/12/2020	 $1742.82	1324363	 $1742	 $1764.98	 $1737.97	Alphabet
11/11/2020	 $1747.23	1591906	 $1748.4	 $1762.9	 $1743.06	Alphabet
11/10/2020	 $1737.72	2151058	 $1729.77	 $1759.38	 $1716.12	Alphabet
11/09/2020	 $1761.42	2672024	 $1795.98	 $1816.89	 $1757.545	Alphabet
11/06/2020	 $1759.73	1431084	 $1751.34	 $1768.495	 $1736.68	Alphabet
11/05/2020	 $1762.5	1987907	 $1770.45	 $1791.818	 $1741.03	Alphabet
11/04/2020	 $1745.85	3567149	 $1705.58	 $1770.03	 $1703	Alphabet
11/03/2020	 $1645.66	1571641	 $1630.76	 $1659	 $1612.108	Alphabet
11/02/2020	 $1624.32	2211449	 $1623.54	 $1658.24	 $1614.24	Alphabet
10/30/2020	 $1616.11	4996197	 $1667.44	 $1681.315	 $1601.57	Alphabet
10/29/2020	 $1556.88	2770343	 $1517.02	 $1588.735	 $1516.55	Alphabet
10/28/2020	 $1510.8	2258675	 $1550.01	 $1553.81	 $1508.48	Alphabet
10/27/2020	 $1598.88	1295138	 $1588.932	 $1602	 $1576.99	Alphabet
10/26/2020	 $1584.29	1791317	 $1615	 $1629.58	 $1567.78	Alphabet
10/23/2020	 $1632.98	1527402	 $1615.05	 $1634.12	 $1611.91	Alphabet
10/22/2020	 $1606.66	1525773	 $1585	 $1613.42	 $1577.48	Alphabet
10/21/2020	 $1585.99	3016053	 $1569.85	 $1615.14	 $1567.135	Alphabet
10/20/2020	 $1551.08	2085915	 $1523.11	 $1573.84	 $1520.5	Alphabet
10/19/2020	 $1529.95	1486652	 $1575.93	 $1583.925	 $1522.92	Alphabet
10/16/2020	 $1567.7	1710325	 $1561.83	 $1577.71	 $1557.66	Alphabet
10/15/2020	 $1555.47	1561485	 $1544.5	 $1571.395	 $1541.1301	Alphabet
10/14/2020	 $1563.44	1659228	 $1574.6	 $1583.85	 $1545.895	Alphabet
10/13/2020	 $1567.07	1953609	 $1577.01	 $1585.16	 $1558.63	Alphabet
10/12/2020	 $1564.59	2767164	 $1538	 $1588.42	 $1529.3	Alphabet
10/09/2020	 $1510.45	1648340	 $1492.86	 $1511.85	 $1487	Alphabet
10/08/2020	 $1483.43	1303802	 $1465.45	 $1488.0275	 $1465.45	Alphabet
10/07/2020	 $1459.14	1805448	 $1459.31	 $1468.97	 $1433.23	Alphabet
10/06/2020	 $1451.02	1304752	 $1475.5	 $1484.52	 $1445.01	Alphabet
10/05/2020	 $1482.83	1080058	 $1462.65	 $1484.7	 $1460.09	Alphabet
10/02/2020	 $1455.6	1561132	 $1459.63	 $1479.03	 $1447.35	Alphabet
10/01/2020	 $1487.9	1644221	 $1483.661	 $1495.07	 $1476.8	Alphabet
09/30/2020	 $1465.6	2046170	 $1460.935	 $1486.1975	 $1455.755	Alphabet
09/29/2020	 $1466.02	1591112	 $1463.91	 $1472	 $1454	Alphabet
09/28/2020	 $1458.66	1539236	 $1471.99	 $1472.99	 $1446.28	Alphabet
09/25/2020	 $1439.06	1516677	 $1425.05	 $1445.94	 $1407.68	Alphabet
09/24/2020	 $1422.86	1727611	 $1402.68	 $1437.99	 $1402.15	Alphabet
09/23/2020	 $1409.39	1886299	 $1452.09	 $1453.08	 $1402.68	Alphabet
09/22/2020	 $1459.82	1697542	 $1450.32	 $1463.97	 $1429.495	Alphabet
09/21/2020	 $1430.14	2845405	 $1431.62	 $1440.06	 $1402.68	Alphabet
09/18/2020	 $1451.09	3152788	 $1488.3	 $1495.2	 $1431.62	Alphabet
09/17/2020	 $1487.04	2000356	 $1485.81	 $1498.66	 $1462.46	Alphabet
09/16/2020	 $1512.09	1107169	 $1542.48	 $1554.37	 $1511.59	Alphabet
09/15/2020	 $1535.12	1152055	 $1527.89	 $1550.99	 $1522.1	Alphabet
09/14/2020	 $1508.83	2133007	 $1531.647	 $1557	 $1505.11	Alphabet
09/11/2020	 $1515.76	1535337	 $1528.15	 $1538.695	 $1493.02	Alphabet
09/10/2020	 $1526.05	1651194	 $1550.18	 $1573.66	 $1520	Alphabet
09/09/2020	 $1547.23	1962078	 $1548.9	 $1558.72	 $1525.17	Alphabet
09/08/2020	 $1523.6	2701586	 $1525	 $1555.55	 $1516.5	Alphabet
09/04/2020	 $1581.21	2792533	 $1609	 $1634.99	 $1537.9701	Alphabet
09/03/2020	 $1629.51	3186287	 $1699.52	 $1700	 $1607.71	Alphabet
09/02/2020	 $1717.39	2476072	 $1668.01	 $1726.1022	 $1660.19	Alphabet
09/01/2020	 $1655.08	1133766	 $1632.16	 $1659.22	 $1629.53	Alphabet
08/31/2020	 $1629.53	1321097	 $1643.57	 $1644.5	 $1625.33	Alphabet
08/28/2020	 $1639.43	1121195	 $1629.47	 $1641.35	 $1625.605	Alphabet
08/27/2020	 $1628.52	1567503	 $1646.61	 $1647.99	 $1618.8137	Alphabet
08/26/2020	 $1644.13	2609363	 $1606.3	 $1652.79	 $1600.9754	Alphabet
08/25/2020	 $1605.85	1257463	 $1580.1	 $1608.88	 $1577.88	Alphabet
08/24/2020	 $1585.15	1281893	 $1592.47	 $1608.78	 $1575.04	Alphabet
08/21/2020	 $1575.57	1742275	 $1571.8	 $1591.88	 $1562.31	Alphabet
08/20/2020	 $1576.25	1319131	 $1539.97	 $1580.17	 $1534.46	Alphabet
08/19/2020	 $1544.61	1523592	 $1552.49	 $1568.86	 $1540	Alphabet
08/18/2020	 $1555.78	1418850	 $1526.12	 $1557.37	 $1521.665	Alphabet
08/17/2020	 $1516.24	999934	 $1515.97	 $1523.78	 $1505	Alphabet
08/14/2020	 $1504.63	1097059	 $1513.61	 $1519.785	 $1499	Alphabet
08/13/2020	 $1516.65	1119711	 $1508.21	 $1536.9744	 $1508.21	Alphabet
08/12/2020	 $1507.24	1126560	 $1487.125	 $1511.67	 $1485	Alphabet
08/11/2020	 $1480.54	1554853	 $1494	 $1510.44	 $1478.19	Alphabet
08/10/2020	 $1496.82	1027329	 $1490.8	 $1507.15	 $1477.4901	Alphabet
08/07/2020	 $1498.37	1386294	 $1509.04	 $1520.09	 $1486.27	Alphabet
08/06/2020	 $1504.95	1665261	 $1476.15	 $1506.27	 $1471.9	Alphabet
08/05/2020	 $1479.09	1457518	 $1476.82	 $1490	 $1471.215	Alphabet
08/04/2020	 $1473.3	1860609	 $1486.71	 $1493.11	 $1464.03	Alphabet
08/03/2020	 $1482.76	2276085	 $1491	 $1497.73	 $1471.72	Alphabet
07/31/2020	 $1487.95	4576382	 $1497.05	 $1505.02	 $1454	Alphabet
07/30/2020	 $1538.37	1802121	 $1497.97	 $1540.89	 $1495.17	Alphabet
07/29/2020	 $1523.51	1133773	 $1505	 $1533.33	 $1503.01	Alphabet
07/28/2020	 $1503.65	1545534	 $1525	 $1526.01	 $1500.52	Alphabet
07/27/2020	 $1529.43	1356185	 $1513.26	 $1537.56	 $1512.33	Alphabet
07/24/2020	 $1508.21	1495381	 $1499.19	 $1515.4273	 $1487.59	Alphabet
07/23/2020	 $1516.75	1695498	 $1565.93	 $1570.35	 $1508.59	Alphabet
07/22/2020	 $1564.85	1224100	 $1555.71	 $1566.98	 $1543.23	Alphabet
07/21/2020	 $1555.92	1377718	 $1585.03	 $1587.05	 $1552.62	Alphabet
07/20/2020	 $1563.84	1508277	 $1515	 $1569.01	 $1502.6961	Alphabet
07/17/2020	 $1516.85	1713231	 $1516.91	 $1523.43	 $1498.1	Alphabet
07/16/2020	 $1514.92	1324227	 $1501.5	 $1515.91	 $1488.27	Alphabet
07/15/2020	 $1516.88	1551325	 $1523.23	 $1536.33	 $1497.83	Alphabet
07/14/2020	 $1520.86	1905400	 $1492.79	 $1522.8	 $1485.925	Alphabet
07/13/2020	 $1512.23	2147728	 $1549.94	 $1576.36	 $1506.56	Alphabet
07/10/2020	 $1539.01	1796063	 $1513.25	 $1541.34	 $1500.72	Alphabet
07/09/2020	 $1518.66	2091833	 $1509.93	 $1529.1412	 $1495.59	Alphabet
07/08/2020	 $1503.6	1588292	 $1500.8	 $1511.17	 $1492.3	Alphabet
07/07/2020	 $1489.92	2118194	 $1496.13	 $1521.32	 $1489.7	Alphabet
07/06/2020	 $1499.65	2235630	 $1488.15	 $1510	 $1476.976	Alphabet
07/02/2020	 $1469.93	2860915	 $1451.84	 $1488.52	 $1451.065	Alphabet
07/01/2020	 $1442	2109124	 $1419.17	 $1448.48	 $1414.18	Alphabet
06/30/2020	 $1418.05	2014320	 $1396.88	 $1424	 $1386.9301	Alphabet
06/29/2020	 $1397.17	2253678	 $1360.34	 $1398	 $1351.65	Alphabet
06/26/2020	 $1362.54	4882014	 $1432.63	 $1437.02	 $1355	Alphabet
06/25/2020	 $1441.1	1197907	 $1431.22	 $1442.32	 $1419.5401	Alphabet
06/24/2020	 $1432.7	1579579	 $1463.28	 $1475.79	 $1430	Alphabet
06/23/2020	 $1463.98	1887583	 $1452	 $1475.2	 $1445	Alphabet
06/22/2020	 $1450.66	1472072	 $1425.01	 $1450.95	 $1419.19	Alphabet
06/19/2020	 $1424.64	2639167	 $1440	 $1444.5	 $1419	Alphabet
06/18/2020	 $1434.12	1743071	 $1449.85	 $1452.9699	 $1426.235	Alphabet
06/17/2020	 $1452.54	1530500	 $1452.94	 $1462.2	 $1435.125	Alphabet
06/16/2020	 $1446.47	1534826	 $1449	 $1457.17	 $1428.99	Alphabet
06/15/2020	 $1420.74	1527652	 $1389.49	 $1425	 $1387.1952	Alphabet
